timestep_superordinate_dispatch,region_dispatch,technology,carrier,id,variable,value,objName
40th < 2040,EU < DE < de < 35DE,heatpump < heatpumpAir < heatpumpAirSpace,none,none,expConv,0.02196860767123028,
40th < 2040,EU < DE < de < 36DE,heatpump < heatpumpAir < heatpumpAirSpace,none,none,expConv,0.07758364832419493,
40th < 2040,EU < DE < de < 37DE,heatpump < heatpumpAir < heatpumpAirSpace,none,none,expConv,3.405678841116781e-5,
40th < 2040,EU < DE < de < 31DE,heatpump < heatpumpAir < heatpumpAirSpace,none,1,capaStOut,1.887905325702823e-5,
40th < 2040,EU < DE < de < 32DE,heatpump < heatpumpAir < heatpumpAirSpace,none,1,capaStOut,2.505387201528859e-5,
40th < 2040,EU < DE < de < 33DE,heatpump < heatpumpAir < heatpumpAirSpace,none,1,capaStOut,1.7197065668090792,
40th < 2040,EU < DE < de < 34DE,heatpump < heatpumpAir < heatpumpAirSpace,none,1,capaStOut,1.847004492149802e-5,
40th < 2040,EU < DE < de < 35DE,heatpump < heatpumpAir < heatpumpAirSpace,none,1,capaStOut,0.015764203405444502,
40th < 2040,EU < DE < de < 36DE,heatpump < heatpumpAir < heatpumpAirSpace,none,1,capaStOut,0.05979438310578833,
40th < 2040,EU < DE < de < 37DE,heatpump < heatpumpAir < heatpumpAirSpace,none,1,capaStOut,2.465315429533351e-5,
